Data,Região,Fonte_Energia,Geração_MWh,Custo_Operacional_BRL,Status_Operacao,Ano,Mes,Custo_por_MWh
2023-07-07 20:23:43.422100,Sudeste,Eólica,286.77,4301.28,Normal,2023,7,14.99905847892039
2022-05-07 20:23:43.422100,Centro-Oeste,Hidrelétrica,472.36,7779.17,Normal,2022,5,16.468731475992886
2025-07-22 20:23:43.422100,Centro-Oeste,Solar,760.27,12628.17,Normal,2025,7,16.61011219698265
2025-05-05 20:23:43.422100,Sul,Termelétrica,488.46,24769.13,Normal,2025,5,50.70861483028293
2023-08-12 20:23:43.422100,Norte,Hidrelétrica,584.56,13278.82,Manutenção,2023,8,22.715923087450392
2022-06-18 20:23:43.422100,Nordeste,Solar,436.45,12602.92,Normal,2022,6,28.875976629625388
2024-09-25 20:23:43.422100,Centro-Oeste,Eólica,738.54,17255.34,Normal,2024,9,23.364123811844994
2024-01-09 20:23:43.422100,Norte,Eólica,436.0,13501.26,Normal,2024,1,30.96619266055046
2022-03-01 20:23:43.422100,Sul,Termelétrica,369.32,17807.72,Normal,2022,3,48.21758908263837
2024-08-25 20:23:43.422100,Nordeste,Hidrelétrica,753.48,14153.08,Normal,2024,8,18.78361734883474
2022-08-31 20:23:43.422100,Nordeste,Eólica,440.09,21887.26,Manutenção,2022,8,49.7335999454657
2025-01-25 20:23:43.422100,Sudeste,Hidrelétrica,548.03,7694.89,Manutenção,2025,1,14.041001405032572
2021-06-19 20:23:43.422100,Nordeste,Solar,759.42,9626.5,Normal,2021,6,12.67612125042796
2022-02-05 20:23:43.422100,Sudeste,Termelétrica,287.31,13911.54,Normal,2022,2,48.419964498277125
2023-06-15 20:23:43.422100,Sudeste,Hidrelétrica,516.51,15113.45,Normal,2023,6,29.26071131246249
2023-10-02 20:23:43.422100,Sudeste,Hidrelétrica,501.2777455853984,21483.35,Falha,2023,10,42.85717885782357
2025-09-29 20:23:43.422100,Sudeste,Nuclear,447.93,13126.47,Normal,2025,9,29.304735114861696
2022-09-15 20:23:43.422100,Norte,Termelétrica,362.22,12834.11,Normal,2022,9,35.431809397603665
2024-05-15 20:23:43.422100,Norte,Termelétrica,663.13,16772.56,Normal,2024,5,25.293019468279223
2022-10-21 20:23:43.422100,Nordeste,Termelétrica,583.92,18112.42,Normal,2022,10,31.018666940676805
2026-01-28 20:23:43.422100,Norte,Eólica,423.94,16273.41,Normal,2026,1,38.386115959805636
2025-07-06 20:23:43.422100,Sudeste,Nuclear,671.89,17267.38,Manutenção,2025,7,25.69971275059906
2023-04-28 20:23:43.422100,Centro-Oeste,Termelétrica,255.84,17297.97,Normal,2023,4,67.61245309568481
2024-01-29 20:23:43.422100,Sudeste,Hidrelétrica,477.81,13962.21,Normal,2024,1,29.221259496452564
2026-05-09 20:23:43.422100,Nordeste,Termelétrica,436.57,11164.33,Normal,2026,5,25.57282909957166
2021-12-04 20:23:43.422100,Centro-Oeste,Solar,351.42,8394.1,Normal,2021,12,23.886232997552785
2024-01-11 20:23:43.422100,Nordeste,Hidrelétrica,638.09,9588.98,Normal,2024,1,15.027629331285555
2023-04-15 20:23:43.422100,Nordeste,Solar,754.55,19072.22,Manutenção,2023,4,25.27628387780797
2024-01-11 20:23:43.422100,Sudeste,Hidrelétrica,564.82,24245.39,Manutenção,2024,1,42.92587018873269
2022-12-12 20:23:43.422100,Sudeste,Termelétrica,541.42,13063.87,Normal,2022,12,24.128901776809133
2025-10-05 20:23:43.422100,Sudeste,Termelétrica,529.18,15080.09,Normal,2025,10,28.49708983710647
2024-11-16 20:23:43.422100,Sul,Termelétrica,421.95,13838.23,Normal,2024,11,32.79589998815025
2023-09-07 20:23:43.422100,Sudeste,Hidrelétrica,268.53,16610.44,Normal,2023,9,61.8569247383905
2025-08-04 20:23:43.422100,Sudeste,Solar,394.19,6127.18,Normal,2025,8,15.543722570334104
2024-07-26 20:23:43.422100,Norte,Hidrelétrica,374.39,13084.92,Normal,2024,7,34.94997195437912
2025-07-15 20:23:43.422100,Nordeste,Solar,298.23,12653.96,Manutenção,2025,7,42.430204875431706
2023-03-06 20:23:43.422100,Sudeste,Eólica,668.19,6423.87,Normal,2023,3,9.613837381583082
2021-06-18 20:23:43.422100,Nordeste,Hidrelétrica,426.71,14557.23,Normal,2021,6,34.11504300344496
2023-09-16 20:23:43.422100,Centro-Oeste,Hidrelétrica,604.44,19300.7,Normal,2023,9,31.93153993779366
2021-11-11 20:23:43.422100,Nordeste,Eólica,507.5,15356.91,Normal,2021,11,30.25992118226601
2024-12-16 20:23:43.422100,Nordeste,Hidrelétrica,327.36,19758.09,Normal,2024,12,60.355846774193544
2022-06-20 20:23:43.422100,Sudeste,Hidrelétrica,762.57,12860.99,Normal,2022,6,16.865323839122965
2023-01-19 20:23:43.422100,Nordeste,Nuclear,606.38,10469.46,Normal,2023,1,17.265510076189848
2022-04-09 20:23:43.422100,Centro-Oeste,Solar,507.87,9412.87,Normal,2022,4,18.534014610038003
2021-06-11 20:23:43.422100,Nordeste,Eólica,635.78,18765.12,Manutenção,2021,6,29.515115291453018
2022-01-25 20:23:43.422100,Sudeste,Termelétrica,712.68,21956.45,Normal,2022,1,30.80828702924174
2023-07-14 20:23:43.422100,Sudeste,Hidrelétrica,390.62,7862.31,Normal,2023,7,20.127771235471815
2025-02-26 20:23:43.422100,Centro-Oeste,Eólica,310.57,22632.15,Normal,2025,2,72.87294329780727
2022-12-14 20:23:43.422100,Sudeste,Termelétrica,516.7,19342.11,Normal,2022,12,37.433926843429454
2023-11-12 20:23:43.422100,Nordeste,Hidrelétrica,402.48,23845.69,Falha,2023,11,59.24689425561518
2025-02-20 20:23:43.422100,Sudeste,Hidrelétrica,695.33,22346.24,Normal,2025,2,32.1376037277264
2021-08-28 20:23:43.422100,Sudeste,Hidrelétrica,608.71,6280.03,Normal,2021,8,10.316948957631713
2025-03-19 20:23:43.422100,Sul,Nuclear,433.67,18518.22,Normal,2025,3,42.70117831530888
2024-01-09 20:23:43.422100,Nordeste,Eólica,615.35,10727.11,Normal,2024,1,17.432534330056065
2025-06-15 20:23:43.422100,Norte,Hidrelétrica,244.71,17146.15,Normal,2025,6,70.06722242654571
2025-05-19 20:23:43.422100,Nordeste,Hidrelétrica,546.96,16841.72,Normal,2025,5,30.791502120813224
2022-10-19 20:23:43.422100,Nordeste,Hidrelétrica,538.26,18235.0,Normal,2022,10,33.877679931631555
2023-07-13 20:23:43.422100,Nordeste,Solar,294.99,15141.68,Normal,2023,7,51.329468795552394
2021-07-02 20:23:43.422100,Nordeste,Termelétrica,344.19,13056.51,Manutenção,2021,7,37.934019001133095
2021-12-20 20:23:43.422100,Centro-Oeste,Hidrelétrica,543.88,22458.85,Normal,2021,12,41.2937596528646
2024-06-06 20:23:43.422100,Sul,Hidrelétrica,363.95,12145.58,Normal,2024,6,33.37156202775107
2025-09-30 20:23:43.422100,Nordeste,Hidrelétrica,508.03,18690.48,Normal,2025,9,36.790110820227156
2025-04-09 20:23:43.422100,Sul,Hidrelétrica,561.8,10828.3,Normal,2025,4,19.274296902812388
2024-03-19 20:23:43.422100,Sudeste,Eólica,704.78,9413.78,Normal,2024,3,13.357047589318654
2024-03-15 20:23:43.422100,Sul,Solar,736.32,11549.45,Normal,2024,3,15.685367774880486
2025-04-11 20:23:43.422100,Sul,Termelétrica,605.6,8645.6,Normal,2025,4,14.276089828269486
2022-12-15 20:23:43.422100,Sudeste,Eólica,409.21,7432.73,Normal,2022,12,18.163607927470004
2024-07-01 20:23:43.422100,Sudeste,Hidrelétrica,417.41,18535.02,Normal,2024,7,44.40482978366594
2026-04-28 20:23:43.422100,Centro-Oeste,Eólica,611.25,18769.31,Normal,2026,4,30.706437627811862
2025-07-07 20:23:43.422100,Sudeste,Termelétrica,238.2,22723.63,Normal,2025,7,95.39727120067171
2023-05-01 20:23:43.422100,Sul,Eólica,495.43,13367.56,Normal,2023,5,26.981733039985464
2022-07-04 20:23:43.422100,Centro-Oeste,Solar,699.17,24432.09,Normal,2022,7,34.944419812062876
2023-05-28 20:23:43.422100,Norte,Solar,250.31,13967.61,Normal,2023,5,55.80124645439655
2025-09-24 20:23:43.422100,Sudeste,Termelétrica,587.49,18077.97,Normal,2025,9,30.771536536792116
2021-11-06 20:23:43.422100,Sudeste,Termelétrica,425.06,17190.29,Normal,2021,11,40.44203171316991
2021-12-16 20:23:43.422100,Sudeste,Hidrelétrica,441.98,25407.33,Normal,2021,12,57.48524820127608
2024-02-18 20:23:43.422100,Norte,Termelétrica,302.69,14812.77,Normal,2024,2,48.937097360335656
2022-02-22 20:23:43.422100,Sudeste,Hidrelétrica,511.0,18956.04,Normal,2022,2,37.0959686888454
2023-08-22 20:23:43.422100,Nordeste,Termelétrica,299.99,13062.61,Normal,2023,8,43.54348478282609
2024-12-13 20:23:43.422100,Sul,Termelétrica,416.46,10130.02,Normal,2024,12,24.324112759928926
2022-08-27 20:23:43.422100,Nordeste,Eólica,393.08,17991.33,Normal,2022,8,45.770148570265604
2025-06-22 20:23:43.422100,Sudeste,Solar,381.87,16559.19,Normal,2025,6,43.363422106999764
2026-03-14 20:23:43.422100,Norte,Hidrelétrica,356.44,12619.91,Normal,2026,3,35.405425878128156
2024-11-24 20:23:43.422100,Norte,Hidrelétrica,257.23,16498.26,Normal,2024,11,64.13816428876879
2024-03-10 20:23:43.422100,Nordeste,Eólica,380.6,4792.9,Normal,2024,3,12.593011035207565
2026-02-17 20:23:43.422100,Nordeste,Hidrelétrica,280.35,18571.86,Normal,2026,2,66.24526484751203
2022-03-20 20:23:43.422100,Sudeste,Termelétrica,353.97,16501.81,Manutenção,2022,3,46.619233268356076
2026-03-12 20:23:43.422100,Nordeste,Hidrelétrica,552.31,11451.65,Falha,2026,3,20.73409860404483
2023-05-18 20:23:43.422100,Centro-Oeste,Solar,359.06,24702.61,Normal,2023,5,68.79800033420598
2026-04-05 20:23:43.422100,Nordeste,Solar,445.48,13445.35,Normal,2026,4,30.18171410613271
2022-05-01 20:23:43.422100,Sul,Eólica,598.77,23468.52,Normal,2022,5,39.19454882509144
2023-10-24 20:23:43.422100,Norte,Solar,562.78,26468.18,Normal,2023,10,47.031131170261915
2024-05-09 20:23:43.422100,Centro-Oeste,Eólica,397.5,18498.33,Normal,2024,5,46.536679245283025
2023-07-29 20:23:43.422100,Sudeste,Hidrelétrica,512.78,12829.56,Normal,2023,7,25.019618549865438
2021-12-31 20:23:43.422100,Sul,Termelétrica,184.19,17615.96,Normal,2021,12,95.64015418860959
2023-07-01 20:23:43.422100,Sul,Eólica,282.56,9313.14,Normal,2023,7,32.95986693091732
2021-12-02 20:23:43.422100,Sul,Hidrelétrica,576.43,15833.49,Normal,2021,12,27.468192148222684
2022-06-12 20:23:43.422100,Norte,Solar,583.92,16890.52,Manutenção,2022,6,28.926085765173315
2022-10-03 20:23:43.422100,Sudeste,Eólica,427.57,7483.3,Normal,2022,10,17.501929508618474
2024-04-27 20:23:43.422100,Sudeste,Hidrelétrica,552.1,20338.32,Falha,2024,4,36.83810903821771
2024-08-21 20:23:43.422100,Sul,Termelétrica,484.3,11464.15,Normal,2024,8,23.67158785876523
2021-06-12 20:23:43.422100,Nordeste,Hidrelétrica,376.31,14700.29,Normal,2021,6,39.06430868167203
2021-08-01 20:23:43.422100,Sul,Eólica,629.61,20272.68,Normal,2021,8,32.19878972697384
2022-10-31 20:23:43.422100,Centro-Oeste,Hidrelétrica,670.99,19127.86,Normal,2022,10,28.506922606894292
2025-02-24 20:23:43.422100,Sudeste,Solar,440.15,3846.79,Normal,2025,2,8.73972509371805
2024-07-24 20:23:43.422100,Centro-Oeste,Eólica,543.3,18071.6,Manutenção,2024,7,33.26265415056138
2023-03-07 20:23:43.422100,Centro-Oeste,Hidrelétrica,322.29,10897.07,Normal,2023,3,33.81138105432995
2025-07-02 20:23:43.422100,Sudeste,Hidrelétrica,137.66,18705.95,Falha,2025,7,135.88515182333285
2024-05-19 20:23:43.422100,Centro-Oeste,Eólica,567.56,17021.18,Normal,2024,5,29.990097963210943
2024-08-03 20:23:43.422100,Sudeste,Eólica,273.16,14818.09,Falha,2024,8,54.24692487919168
2025-07-29 20:23:43.422100,Sudeste,Hidrelétrica,605.25,9545.84,Normal,2025,7,15.771730689797604
2023-01-11 20:23:43.422100,Sudeste,Hidrelétrica,376.07,20025.24,Normal,2023,1,53.24870369877949
2022-06-24 20:23:43.422100,Nordeste,Termelétrica,499.18,17424.3,Normal,2022,6,34.90584558676229
2026-01-21 20:23:43.422100,Sul,Eólica,380.41,13991.35,Normal,2026,1,36.77965878920112
2022-07-21 20:23:43.422100,Sudeste,Hidrelétrica,421.31,7314.78,Normal,2022,7,17.36198998362251
2022-03-13 20:23:43.422100,Nordeste,Termelétrica,299.95,13880.75,Manutenção,2022,3,46.27687947991332
2022-06-11 20:23:43.422100,Sudeste,Termelétrica,479.44,23547.38,Normal,2022,6,49.11434173202069
2026-04-29 20:23:43.422100,Nordeste,Hidrelétrica,649.15,16753.5,Normal,2026,4,25.808364784718478
2025-07-20 20:23:43.422100,Norte,Termelétrica,360.12,5793.76,Normal,2025,7,16.08841497278685
2022-01-14 20:23:43.422100,Sudeste,Hidrelétrica,501.2777455853984,14829.64,Manutenção,2022,1,29.58367916908372
2024-03-11 20:23:43.422100,Sudeste,Hidrelétrica,702.64,22000.15,Normal,2024,3,31.310699647045432
2021-07-08 20:23:43.422100,Nordeste,Hidrelétrica,614.7,19688.87,Manutenção,2021,7,32.030047177484946
2024-04-14 20:23:43.422100,Nordeste,Hidrelétrica,499.61,7215.21,Normal,2024,4,14.441684513920858
2021-10-10 20:23:43.422100,Sul,Eólica,412.28,17374.61,Normal,2021,10,42.142742796157954
2021-12-15 20:23:43.422100,Nordeste,Solar,221.16,22448.93,Manutenção,2021,12,101.50538071984084
2023-07-17 20:23:43.422100,Nordeste,Hidrelétrica,304.11,11416.72,Manutenção,2023,7,37.54141593502351
2023-12-14 20:23:43.422100,Sul,Hidrelétrica,744.05,16068.17,Normal,2023,12,21.595551374235605
2024-04-19 20:23:43.422100,Nordeste,Eólica,392.55,17538.05,Normal,2024,4,44.67723856833524
2024-05-04 20:23:43.422100,Sudeste,Eólica,349.17,9337.73,Normal,2024,5,26.74264684824011
2022-10-13 20:23:43.422100,Nordeste,Hidrelétrica,620.81,10644.33,Normal,2022,10,17.145873938886297
2022-07-09 20:23:43.422100,Sudeste,Termelétrica,229.94,-4723.01,Falha,2022,7,-20.540184395929373
2025-10-12 20:23:43.422100,Centro-Oeste,Solar,476.5,16277.86,Normal,2025,10,34.16130115424974
2026-03-15 20:23:43.422100,Sul,Hidrelétrica,731.92,15289.27,Manutenção,2026,3,20.889263853973112
2023-08-11 20:23:43.422100,Centro-Oeste,Eólica,425.34,14753.58,Normal,2023,8,34.68655663704331
2021-09-04 20:23:43.422100,Sudeste,Hidrelétrica,501.2777455853984,5610.17,Normal,2021,9,11.191739608245273
2023-04-12 20:23:43.422100,Sul,Hidrelétrica,406.16,10504.58,Normal,2023,4,25.863157376403386
2023-05-24 20:23:43.422100,Sul,Eólica,312.62,17521.78,Falha,2023,5,56.048173501375466
2025-09-15 20:23:43.422100,Nordeste,Hidrelétrica,423.0,13760.42,Normal,2025,9,32.53054373522458
2024-01-14 20:23:43.422100,Sudeste,Eólica,546.44,9943.23,Normal,2024,1,18.19638020642705
2026-03-26 20:23:43.422100,Centro-Oeste,Hidrelétrica,582.56,7865.78,Normal,2026,3,13.502094204888767
2023-01-31 20:23:43.422100,Sudeste,Eólica,620.14,6325.78,Normal,2023,1,10.200567613764633
2025-06-22 20:23:43.422100,Centro-Oeste,Hidrelétrica,501.2777455853984,10190.52,Normal,2025,6,20.329089192059353
2023-03-02 20:23:43.422100,Centro-Oeste,Hidrelétrica,248.14,17635.66,Normal,2023,3,71.07141130007254
2026-04-25 20:23:43.422100,Nordeste,Hidrelétrica,645.42,15972.96,Normal,2026,4,24.74816398624152
2024-03-22 20:23:43.422100,Sudeste,Eólica,639.39,16693.84,Normal,2024,3,26.109010150299504
2024-10-21 20:23:43.422100,Sudeste,Nuclear,324.56,3480.14,Falha,2024,10,10.722639881685975
2022-10-13 20:23:43.422100,Nordeste,Hidrelétrica,522.95,13689.35,Normal,2022,10,26.17716798929152
2023-07-04 20:23:43.422100,Sudeste,Hidrelétrica,492.98,15905.36,Normal,2023,7,32.26370238143535
2022-06-30 20:23:43.422100,Sul,Hidrelétrica,518.78,21064.01,Normal,2022,6,40.60297235822507
2023-10-16 20:23:43.422100,Sudeste,Eólica,358.91,10892.68,Manutenção,2023,10,30.349335488005348
2023-08-01 20:23:43.422100,Centro-Oeste,Nuclear,492.38,9419.75,Normal,2023,8,19.131057313457084
2022-06-25 20:23:43.422100,Sul,Nuclear,433.7,23497.33,Normal,2022,6,54.17876412266544
2021-12-21 20:23:43.422100,Sudeste,Hidrelétrica,756.94,17646.2,Normal,2021,12,23.312547890189446
2024-04-01 20:23:43.422100,Nordeste,Termelétrica,341.39,14412.34,Manutenção,2024,4,42.21664372125721
2025-09-22 20:23:43.422100,Sudeste,Hidrelétrica,326.88,27520.62,Normal,2025,9,84.19181350954479
2023-11-06 20:23:43.422100,Nordeste,Termelétrica,470.54,15834.27,Normal,2023,11,33.65127300548306
2025-06-21 20:23:43.422100,Sudeste,Termelétrica,436.27,10809.49,Manutenção,2025,6,24.77706466179201
2026-02-06 20:23:43.422100,Sul,Hidrelétrica,326.36,23090.91,Normal,2026,2,70.7528802549332
2025-10-13 20:23:43.422100,Centro-Oeste,Hidrelétrica,597.48,8573.98,Normal,2025,10,14.350237664859074
2023-10-09 20:23:43.422100,Centro-Oeste,Hidrelétrica,427.79,11968.88,Manutenção,2023,10,27.97840061712522
2023-06-10 20:23:43.422100,Centro-Oeste,Hidrelétrica,437.11,7336.38,Normal,2023,6,16.783830157168676
2024-11-13 20:23:43.422100,Nordeste,Hidrelétrica,197.49,8084.82,Normal,2024,11,40.9378702719125
2022-12-13 20:23:43.422100,Sudeste,Eólica,622.43,18575.85,Normal,2022,12,29.84407885224041
2024-03-14 20:23:43.422100,Sudeste,Eólica,486.18,12514.5,Normal,2024,3,25.74046649389115
2021-09-01 20:23:43.422100,Norte,Hidrelétrica,734.39,15232.77,Normal,2021,9,20.742071651302442
2026-03-21 20:23:43.422100,Sudeste,Hidrelétrica,609.66,17773.66,Normal,2026,3,29.153396975363318
2022-09-25 20:23:43.422100,Nordeste,Nuclear,463.12,23850.84,Normal,2022,9,51.50034548281223
2025-04-28 20:23:43.422100,Sul,Hidrelétrica,484.97,17956.86,Normal,2025,4,37.02674392230447
2022-01-14 20:23:43.422100,Centro-Oeste,Solar,423.56,12714.79,Manutenção,2022,1,30.01886391538389
2023-06-16 20:23:43.422100,Sudeste,Eólica,439.45,19187.67,Normal,2023,6,43.66291955853908
2026-01-01 20:23:43.422100,Norte,Eólica,820.47,13625.69,Normal,2026,1,16.607176374517046
2024-09-04 20:23:43.422100,Nordeste,Hidrelétrica,238.32,13869.68,Normal,2024,9,58.19771735481706
2022-11-20 20:23:43.422100,Sudeste,Hidrelétrica,443.86,21474.72,Normal,2022,11,48.38174199071779
2024-04-22 20:23:43.422100,Centro-Oeste,Eólica,316.35,10575.77,Normal,2024,4,33.430599020072705
2022-11-04 20:23:43.422100,Sul,Termelétrica,227.12,14887.94,Normal,2022,11,65.55098626276857
2024-08-24 20:23:43.422100,Sudeste,Nuclear,525.11,8553.56,Normal,2024,8,16.28908228752071
2026-02-14 20:23:43.422100,Sul,Hidrelétrica,464.59,14057.95,Normal,2026,2,30.258830366559767
2024-11-15 20:23:43.422100,Sul,Hidrelétrica,493.82,4465.61,Normal,2024,11,9.042991373374914
2024-06-11 20:23:43.422100,Centro-Oeste,Hidrelétrica,751.89,11834.7,Manutenção,2024,6,15.73993536288553
2026-05-22 20:23:43.422100,Sudeste,Termelétrica,312.06,11578.93,Normal,2026,5,37.104819585977054
2022-12-27 20:23:43.422100,Sudeste,Hidrelétrica,895.9,13444.26,Normal,2022,12,15.006429288983146
2023-04-10 20:23:43.422100,Nordeste,Eólica,359.53,12099.31,Normal,2023,4,33.65313047589909
2022-12-06 20:23:43.422100,Sul,Hidrelétrica,318.17,22081.78,Normal,2022,12,69.40245780557562
2025-10-12 20:23:43.422100,Sudeste,Termelétrica,454.85,18958.45,Normal,2025,10,41.68066395515005
2024-03-06 20:23:43.422100,Sudeste,Hidrelétrica,590.77,16460.12,Normal,2024,3,27.86214601283071
2023-03-05 20:23:43.422100,Norte,Eólica,441.45,12683.93,Normal,2023,3,28.732427228451694
2023-08-02 20:23:43.422100,Sudeste,Eólica,453.8,25664.76,Normal,2023,8,56.55522256500661
2024-04-14 20:23:43.422100,Nordeste,Hidrelétrica,611.47,25281.67,Manutenção,2024,4,41.34572423831095
2025-11-27 20:23:43.422100,Sudeste,Hidrelétrica,702.64,13390.07,Normal,2025,11,19.056800068313787
2025-09-24 20:23:43.422100,Sudeste,Termelétrica,500.334956382848,5364.03,Normal,2025,9,10.720877947003833
2025-02-20 20:23:43.422100,Nordeste,Eólica,870.24,19770.37,Normal,2025,2,22.718296102224674
2026-05-24 20:23:43.422100,Sul,Eólica,587.87,18945.04,Normal,2026,5,32.22658070661881
2025-02-11 20:23:43.422100,Sudeste,Nuclear,706.09,24024.14,Normal,2025,2,34.0241895509071
2025-12-17 20:23:43.422100,Sul,Hidrelétrica,359.34,12814.83,Normal,2025,12,35.66213057271665
2025-08-05 20:23:43.422100,Centro-Oeste,Termelétrica,441.69,17498.53,Normal,2025,8,39.61722022232787
2025-02-28 20:23:43.422100,Sudeste,Eólica,500.7474316586628,16269.32,Normal,2025,2,32.49007178351355
2025-07-03 20:23:43.422100,Sudeste,Eólica,405.99,7534.38,Normal,2025,7,18.558043301559152
2024-11-03 20:23:43.422100,Sudeste,Hidrelétrica,573.99,12884.16,Normal,2024,11,22.446662833847277
2021-12-04 20:23:43.422100,Norte,Termelétrica,407.32,10265.62,Normal,2021,12,25.202838063439067
2024-10-28 20:23:43.422100,Nordeste,Hidrelétrica,656.04,5812.08,Normal,2024,10,8.85933784525334
2025-04-06 20:23:43.422100,Sul,Hidrelétrica,562.96,13816.28,Normal,2025,4,24.542205485292026
2025-03-29 20:23:43.422100,Centro-Oeste,Solar,399.8,14062.57,Normal,2025,3,35.174012006003
2024-12-25 20:23:43.422100,Sul,Eólica,856.87,13745.84,Normal,2024,12,16.041920011203565
2023-02-20 20:23:43.422100,Nordeste,Hidrelétrica,252.98,17490.95,Normal,2023,2,69.13965530872007
2023-02-15 20:23:43.422100,Sul,Termelétrica,446.43,15779.38,Normal,2023,2,35.345698093766096
2024-01-26 20:23:43.422100,Sudeste,Hidrelétrica,644.44,16654.86,Falha,2024,1,25.843926509838
2026-04-01 20:23:43.422100,Sudeste,Hidrelétrica,393.0,9611.97,Normal,2026,4,24.457938931297708
2024-12-01 20:23:43.422100,Centro-Oeste,Hidrelétrica,268.96,9379.16,Normal,2024,12,34.8719512195122
2025-03-11 20:23:43.422100,Sul,Eólica,310.22,12682.05,Normal,2025,3,40.88082651021855
2023-05-08 20:23:43.422100,Sudeste,Nuclear,591.2,6155.64,Normal,2023,5,10.412110960757781
2025-06-16 20:23:43.422100,Sudeste,Termelétrica,543.84,11980.87,Normal,2025,6,22.030137540453076
2025-05-02 20:23:43.422100,Norte,Eólica,533.77,14506.3,Normal,2025,5,27.177061281076117
2023-03-08 20:23:43.422100,Sudeste,Solar,532.45,20489.76,Normal,2023,3,38.48203587191285
2022-04-11 20:23:43.422100,Sul,Solar,614.84,13625.33,Normal,2022,4,22.1607735345781
2026-01-23 20:23:43.422100,Nordeste,Eólica,232.36,7964.72,Normal,2026,1,34.27750043036667
2024-10-28 20:23:43.422100,Sudeste,Termelétrica,805.86,12358.98,Normal,2024,10,15.336385972749609
2024-11-06 20:23:43.422100,Norte,Hidrelétrica,328.76,18173.44,Normal,2024,11,55.27874437279474
2023-04-12 20:23:43.422100,Sul,Hidrelétrica,449.2,4936.73,Normal,2023,4,10.990048975957256
2023-03-23 20:23:43.422100,Sul,Hidrelétrica,633.09,14678.37,Normal,2023,3,23.18528171350045
2025-03-26 20:23:43.422100,Centro-Oeste,Hidrelétrica,447.77,11824.65,Normal,2025,3,26.407865645308977
2026-01-18 20:23:43.422100,Nordeste,Nuclear,495.05,21374.09,Normal,2026,1,43.17561862438137
2025-11-15 20:23:43.422100,Sudeste,Solar,267.88,16451.46,Normal,2025,11,61.413543377631775
2025-07-02 20:23:43.422100,Norte,Hidrelétrica,305.11,9104.06,Normal,2025,7,29.83861558126577
2024-11-05 20:23:43.422100,Centro-Oeste,Hidrelétrica,252.57,22597.76,Normal,2024,11,89.47127529001861
2026-02-07 20:23:43.422100,Nordeste,Nuclear,522.94,16905.36,Normal,2026,2,32.32753279534937
2024-07-08 20:23:43.422100,Centro-Oeste,Solar,543.33,6980.17,Normal,2024,7,12.847017466364823
2025-07-27 20:23:43.422100,Norte,Hidrelétrica,535.9,14246.76,Normal,2025,7,26.584735958201158
2022-08-13 20:23:43.422100,Norte,Hidrelétrica,503.7,19278.01,Normal,2022,8,38.272801270597576
