Data,Região,Fonte_Energia,Geração_MWh,Custo_Operacional_BRL,Status_Operacao
2022-03-01 20:23:43.422100,Sul,Termelétrica,369.32,17807.72,Normal
2024-08-25 20:23:43.422100,Nordeste,Hidrelétrica,753.48,14153.08,Normal
2022-08-31 20:23:43.422100,Nordeste,Eólica,440.09,21887.26,Manutenção
2025-01-25 20:23:43.422100,Sudeste,Hidrelétrica,548.03,7694.89,Manutenção
2021-06-19 20:23:43.422100,Nordeste,Solar,759.42,9626.5,Normal
2022-02-05 20:23:43.422100,Sudeste,Termelétrica,287.31,13911.54,Normal
2023-06-15 20:23:43.422100,Sudeste,Hidrelétrica,516.51,15113.45,Normal
2023-10-02 20:23:43.422100,Sudeste,Hidrelétrica,,21483.35,Falha
2025-09-29 20:23:43.422100,Sudeste,Nuclear,447.93,13126.47,Normal
2022-09-15 20:23:43.422100,Norte,Termelétrica,362.22,12834.11,Normal
2024-05-15 20:23:43.422100,Norte,Termelétrica,663.13,16772.56,Normal
2022-10-21 20:23:43.422100,Nordeste,Termelétrica,583.92,18112.42,Normal
2026-01-28 20:23:43.422100,Norte,Eólica,423.94,16273.41,Normal
2025-07-06 20:23:43.422100,Sudeste,Nuclear,671.89,17267.38,Manutenção
2023-04-28 20:23:43.422100,Centro-Oeste,Termelétrica,255.84,17297.97,Normal
2024-01-29 20:23:43.422100,Sudeste,Hidrelétrica,477.81,13962.21,Normal
2026-05-09 20:23:43.422100,Nordeste,Termelétrica,436.57,11164.33,Normal
2021-12-04 20:23:43.422100,Centro-Oeste,Solar,351.42,8394.1,Normal
2024-01-11 20:23:43.422100,Nordeste,Hidrelétrica,638.09,9588.98,Normal
2023-04-15 20:23:43.422100,Nordeste,Solar,754.55,19072.22,Manutenção
2024-01-11 20:23:43.422100,Sudeste,Hidrelétrica,564.82,24245.39,Manutenção
2022-12-12 20:23:43.422100,Sudeste,Termelétrica,541.42,13063.87,Normal
2025-10-05 20:23:43.422100,Sudeste,Termelétrica,529.18,15080.09,Normal
2024-11-16 20:23:43.422100,Sul,Termelétrica,421.95,13838.23,Normal
2023-09-07 20:23:43.422100,Sudeste,Hidrelétrica,268.53,16610.44,Normal
2025-08-04 20:23:43.422100,Sudeste,Solar,394.19,6127.18,Normal
2024-07-26 20:23:43.422100,Norte,Hidrelétrica,374.39,13084.92,Normal
2025-07-15 20:23:43.422100,Nordeste,Solar,298.23,12653.96,Manutenção
2023-03-06 20:23:43.422100,Sudeste,Eólica,668.19,6423.87,Normal
2021-06-18 20:23:43.422100,Nordeste,Hidrelétrica,426.71,14557.23,Normal
2023-09-16 20:23:43.422100,Centro-Oeste,Hidrelétrica,604.44,19300.7,Normal
2021-11-11 20:23:43.422100,Nordeste,Eólica,507.5,15356.91,Normal
2024-12-16 20:23:43.422100,Nordeste,Hidrelétrica,327.36,19758.09,Normal
2022-06-20 20:23:43.422100,Sudeste,Hidrelétrica,762.57,12860.99,Normal
2023-01-19 20:23:43.422100,Nordeste,Nuclear,606.38,10469.46,Normal
2022-04-09 20:23:43.422100,Centro-Oeste,Solar,507.87,9412.87,Normal
2021-06-11 20:23:43.422100,Nordeste,Eólica,635.78,18765.12,Manutenção
2022-01-25 20:23:43.422100,Sudeste,Termelétrica,712.68,21956.45,Normal
2023-07-14 20:23:43.422100,Sudeste,Hidrelétrica,390.62,7862.31,Normal
2025-02-26 20:23:43.422100,Centro-Oeste,Eólica,310.57,22632.15,Normal
2022-12-14 20:23:43.422100,Sudeste,Termelétrica,516.7,19342.11,Normal
2023-11-12 20:23:43.422100,Nordeste,Hidrelétrica,402.48,23845.69,Falha
2025-02-20 20:23:43.422100,Sudeste,Hidrelétrica,695.33,22346.24,Normal
2021-08-28 20:23:43.422100,Sudeste,Hidrelétrica,608.71,6280.03,Normal
2025-03-19 20:23:43.422100,Sul,Nuclear,433.67,18518.22,Normal
2024-01-09 20:23:43.422100,Nordeste,Eólica,615.35,10727.11,Normal
2025-06-15 20:23:43.422100,Norte,Hidrelétrica,244.71,17146.15,Normal
2025-05-19 20:23:43.422100,Nordeste,Hidrelétrica,546.96,16841.72,Normal
2022-10-19 20:23:43.422100,Nordeste,Hidrelétrica,538.26,18235.0,Normal
2023-07-13 20:23:43.422100,Nordeste,Solar,294.99,15141.68,Normal
2021-07-02 20:23:43.422100,Nordeste,Termelétrica,344.19,13056.51,Manutenção
2021-12-20 20:23:43.422100,Centro-Oeste,Hidrelétrica,543.88,22458.85,Normal
2024-06-06 20:23:43.422100,Sul,Hidrelétrica,363.95,12145.58,Normal
2025-09-30 20:23:43.422100,Nordeste,Hidrelétrica,508.03,18690.48,Normal
2025-04-09 20:23:43.422100,Sul,Hidrelétrica,561.8,10828.3,Normal
2024-03-19 20:23:43.422100,Sudeste,Eólica,704.78,9413.78,Normal
2024-03-15 20:23:43.422100,Sul,Solar,736.32,11549.45,Normal
2025-04-11 20:23:43.422100,Sul,Termelétrica,605.6,8645.6,Normal
2022-12-15 20:23:43.422100,Sudeste,Eólica,409.21,7432.73,Normal
2024-07-01 20:23:43.422100,Sudeste,Hidrelétrica,417.41,18535.02,Normal
2026-04-28 20:23:43.422100,Centro-Oeste,Eólica,611.25,18769.31,Normal
2025-07-07 20:23:43.422100,Sudeste,Termelétrica,238.2,22723.63,Normal
2023-05-01 20:23:43.422100,Sul,Eólica,495.43,13367.56,Normal
2022-07-04 20:23:43.422100,Centro-Oeste,Solar,699.17,24432.09,Normal
2023-05-28 20:23:43.422100,Norte,Solar,250.31,13967.61,Normal
2025-09-24 20:23:43.422100,Sudeste,Termelétrica,587.49,18077.97,Normal
2021-11-06 20:23:43.422100,Sudeste,Termelétrica,425.06,17190.29,Normal
2021-12-16 20:23:43.422100,Sudeste,Hidrelétrica,441.98,25407.33,Normal
2024-02-18 20:23:43.422100,Norte,Termelétrica,302.69,14812.77,Normal
2022-02-22 20:23:43.422100,Sudeste,Hidrelétrica,511.0,18956.04,Normal
2023-08-22 20:23:43.422100,Nordeste,Termelétrica,299.99,13062.61,Normal
2024-12-13 20:23:43.422100,Sul,Termelétrica,416.46,10130.02,Normal
2022-08-27 20:23:43.422100,Nordeste,Eólica,393.08,17991.33,Normal
2025-06-22 20:23:43.422100,Sudeste,Solar,381.87,16559.19,Normal
2026-03-14 20:23:43.422100,Norte,Hidrelétrica,356.44,12619.91,Normal
2024-11-24 20:23:43.422100,Norte,Hidrelétrica,257.23,16498.26,Normal
2024-03-10 20:23:43.422100,Nordeste,Eólica,380.6,4792.9,Normal
2026-02-17 20:23:43.422100,Nordeste,Hidrelétrica,280.35,18571.86,Normal
2022-03-20 20:23:43.422100,Sudeste,Termelétrica,353.97,16501.81,Manutenção
2026-03-12 20:23:43.422100,Nordeste,Hidrelétrica,552.31,11451.65,Falha
2023-05-18 20:23:43.422100,Centro-Oeste,Solar,359.06,24702.61,Normal
2026-04-05 20:23:43.422100,Nordeste,Solar,445.48,13445.35,Normal
2022-05-01 20:23:43.422100,Sul,Eólica,598.77,23468.52,Normal
2023-10-24 20:23:43.422100,Norte,Solar,562.78,26468.18,Normal
2024-05-09 20:23:43.422100,Centro-Oeste,Eólica,397.5,18498.33,Normal
2023-07-29 20:23:43.422100,Sudeste,Hidrelétrica,512.78,12829.56,Normal
2021-12-31 20:23:43.422100,Sul,Termelétrica,184.19,17615.96,Normal
2023-07-01 20:23:43.422100,Sul,Eólica,282.56,9313.14,Normal
2021-12-02 20:23:43.422100,Sul,Hidrelétrica,576.43,15833.49,Normal
2022-06-12 20:23:43.422100,Norte,Solar,583.92,16890.52,Manutenção
2022-10-03 20:23:43.422100,Sudeste,Eólica,427.57,7483.3,Normal
2024-04-27 20:23:43.422100,Sudeste,Hidrelétrica,552.1,20338.32,Falha
2024-08-21 20:23:43.422100,Sul,Termelétrica,484.3,11464.15,Normal
2021-06-12 20:23:43.422100,Nordeste,Hidrelétrica,376.31,14700.29,Normal
2021-08-01 20:23:43.422100,Sul,Eólica,629.61,20272.68,Normal
2022-10-31 20:23:43.422100,Centro-Oeste,Hidrelétrica,670.99,19127.86,Normal
2025-02-24 20:23:43.422100,Sudeste,Solar,440.15,3846.79,Normal
2024-07-24 20:23:43.422100,Centro-Oeste,Eólica,543.3,18071.6,Manutenção
2023-03-07 20:23:43.422100,Centro-Oeste,Hidrelétrica,322.29,10897.07,Normal
2025-07-02 20:23:43.422100,Sudeste,Hidrelétrica,137.66,18705.95,Falha
2024-05-19 20:23:43.422100,Centro-Oeste,Eólica,567.56,17021.18,Normal
2024-08-03 20:23:43.422100,Sudeste,Eólica,273.16,14818.09,Falha
2025-07-29 20:23:43.422100,Sudeste,Hidrelétrica,605.25,9545.84,Normal
2023-01-11 20:23:43.422100,Sudeste,Hidrelétrica,376.07,20025.24,Normal
2022-06-24 20:23:43.422100,Nordeste,Termelétrica,499.18,17424.3,Normal
2026-01-21 20:23:43.422100,Sul,Eólica,380.41,13991.35,Normal
2022-07-21 20:23:43.422100,Sudeste,Hidrelétrica,421.31,7314.78,Normal
2022-03-13 20:23:43.422100,Nordeste,Termelétrica,299.95,13880.75,Manutenção
2022-06-11 20:23:43.422100,Sudeste,Termelétrica,479.44,23547.38,Normal
2026-04-29 20:23:43.422100,Nordeste,Hidrelétrica,649.15,16753.5,Normal
2025-07-20 20:23:43.422100,Norte,Termelétrica,360.12,5793.76,Normal
2022-01-14 20:23:43.422100,Sudeste,Hidrelétrica,,14829.64,Manutenção
2024-03-11 20:23:43.422100,Sudeste,Hidrelétrica,702.64,22000.15,Normal
2021-07-08 20:23:43.422100,Nordeste,Hidrelétrica,614.7,19688.87,Manutenção
2024-04-14 20:23:43.422100,Nordeste,Hidrelétrica,499.61,7215.21,Normal
2021-10-10 20:23:43.422100,Sul,Eólica,412.28,17374.61,Normal
2021-12-15 20:23:43.422100,Nordeste,Solar,221.16,22448.93,Manutenção
2023-07-17 20:23:43.422100,Nordeste,Hidrelétrica,304.11,11416.72,Manutenção
2023-12-14 20:23:43.422100,Sul,Hidrelétrica,744.05,16068.17,Normal
2024-04-19 20:23:43.422100,Nordeste,Eólica,392.55,17538.05,Normal
2024-05-04 20:23:43.422100,Sudeste,Eólica,349.17,9337.73,Normal
2022-10-13 20:23:43.422100,Nordeste,Hidrelétrica,620.81,10644.33,Normal
2022-07-09 20:23:43.422100,Sudeste,Termelétrica,229.94,-4723.01,Falha
2025-10-12 20:23:43.422100,Centro-Oeste,Solar,476.5,16277.86,Normal
2026-03-15 20:23:43.422100,Sul,Hidrelétrica,731.92,15289.27,Manutenção
2023-08-11 20:23:43.422100,Centro-Oeste,Eólica,425.34,14753.58,Normal
2021-09-04 20:23:43.422100,Sudeste,Hidrelétrica,,5610.17,Normal
2023-04-12 20:23:43.422100,Sul,Hidrelétrica,406.16,10504.58,Normal
2023-05-24 20:23:43.422100,Sul,Eólica,312.62,17521.78,Falha
2025-09-15 20:23:43.422100,Nordeste,Hidrelétrica,423.0,13760.42,Normal
2024-01-14 20:23:43.422100,Sudeste,Eólica,546.44,9943.23,Normal
2026-03-26 20:23:43.422100,Centro-Oeste,Hidrelétrica,582.56,7865.78,Normal
2023-01-31 20:23:43.422100,Sudeste,Eólica,620.14,6325.78,Normal
2025-06-22 20:23:43.422100,Centro-Oeste,Hidrelétrica,,10190.52,Normal
2023-03-02 20:23:43.422100,Centro-Oeste,Hidrelétrica,248.14,17635.66,Normal
2026-04-25 20:23:43.422100,Nordeste,Hidrelétrica,645.42,15972.96,Normal
2024-03-22 20:23:43.422100,Sudeste,Eólica,639.39,16693.84,Normal
2024-10-21 20:23:43.422100,Sudeste,Nuclear,324.56,3480.14,Falha
2022-10-13 20:23:43.422100,Nordeste,Hidrelétrica,522.95,13689.35,Normal
2023-07-04 20:23:43.422100,Sudeste,Hidrelétrica,492.98,15905.36,Normal
2022-06-30 20:23:43.422100,Sul,Hidrelétrica,518.78,21064.01,Normal
2023-10-16 20:23:43.422100,Sudeste,Eólica,358.91,10892.68,Manutenção
2023-08-01 20:23:43.422100,Centro-Oeste,Nuclear,492.38,9419.75,Normal
2022-06-25 20:23:43.422100,Sul,Nuclear,433.7,23497.33,Normal
2021-12-21 20:23:43.422100,Sudeste,Hidrelétrica,756.94,17646.2,Normal
2024-04-01 20:23:43.422100,Nordeste,Termelétrica,341.39,14412.34,Manutenção
2025-09-22 20:23:43.422100,Sudeste,Hidrelétrica,326.88,27520.62,Normal
2023-11-06 20:23:43.422100,Nordeste,Termelétrica,470.54,15834.27,Normal
2025-06-21 20:23:43.422100,Sudeste,Termelétrica,436.27,10809.49,Manutenção
2026-02-06 20:23:43.422100,Sul,Hidrelétrica,326.36,23090.91,Normal
2025-10-13 20:23:43.422100,Centro-Oeste,Hidrelétrica,597.48,8573.98,Normal
2023-10-09 20:23:43.422100,Centro-Oeste,Hidrelétrica,427.79,11968.88,Manutenção
2023-06-10 20:23:43.422100,Centro-Oeste,Hidrelétrica,437.11,7336.38,Normal
2024-11-13 20:23:43.422100,Nordeste,Hidrelétrica,197.49,8084.82,Normal
2022-12-13 20:23:43.422100,Sudeste,Eólica,622.43,18575.85,Normal
2024-03-14 20:23:43.422100,Sudeste,Eólica,486.18,12514.5,Normal
2021-09-01 20:23:43.422100,Norte,Hidrelétrica,734.39,15232.77,Normal
2026-03-21 20:23:43.422100,Sudeste,Hidrelétrica,609.66,17773.66,Normal
2022-09-25 20:23:43.422100,Nordeste,Nuclear,463.12,23850.84,Normal
2025-04-28 20:23:43.422100,Sul,Hidrelétrica,484.97,17956.86,Normal
2022-01-14 20:23:43.422100,Centro-Oeste,Solar,423.56,12714.79,Manutenção
2023-06-16 20:23:43.422100,Sudeste,Eólica,439.45,19187.67,Normal
2026-01-01 20:23:43.422100,Norte,Eólica,820.47,13625.69,Normal
2024-09-04 20:23:43.422100,Nordeste,Hidrelétrica,238.32,13869.68,Normal
2022-11-20 20:23:43.422100,Sudeste,Hidrelétrica,443.86,21474.72,Normal
2024-04-22 20:23:43.422100,Centro-Oeste,Eólica,316.35,10575.77,Normal
2022-11-04 20:23:43.422100,Sul,Termelétrica,227.12,14887.94,Normal
2024-08-24 20:23:43.422100,Sudeste,Nuclear,525.11,8553.56,Normal
2026-02-14 20:23:43.422100,Sul,Hidrelétrica,464.59,14057.95,Normal
2024-11-15 20:23:43.422100,Sul,Hidrelétrica,493.82,4465.61,Normal
2024-06-11 20:23:43.422100,Centro-Oeste,Hidrelétrica,751.89,11834.7,Manutenção
2026-05-22 20:23:43.422100,Sudeste,Termelétrica,312.06,11578.93,Normal
2022-12-27 20:23:43.422100,Sudeste,Hidrelétrica,895.9,13444.26,Normal
2023-04-10 20:23:43.422100,Nordeste,Eólica,359.53,12099.31,Normal
2022-12-06 20:23:43.422100,Sul,Hidrelétrica,318.17,22081.78,Normal
2025-10-12 20:23:43.422100,Sudeste,Termelétrica,454.85,18958.45,Normal
2024-03-06 20:23:43.422100,Sudeste,Hidrelétrica,590.77,16460.12,Normal
2023-03-05 20:23:43.422100,Norte,Eólica,441.45,12683.93,Normal
2023-08-02 20:23:43.422100,Sudeste,Eólica,453.8,25664.76,Normal
2024-04-14 20:23:43.422100,Nordeste,Hidrelétrica,611.47,25281.67,Manutenção
2025-11-27 20:23:43.422100,Sudeste,Hidrelétrica,702.64,13390.07,Normal
2025-09-24 20:23:43.422100,Sudeste,Termelétrica,,5364.03,Normal
2025-02-20 20:23:43.422100,Nordeste,Eólica,870.24,19770.37,Normal
2026-05-24 20:23:43.422100,Sul,Eólica,587.87,18945.04,Normal
2025-02-11 20:23:43.422100,Sudeste,Nuclear,706.09,24024.14,Normal
2025-12-17 20:23:43.422100,Sul,Hidrelétrica,359.34,12814.83,Normal
2025-08-05 20:23:43.422100,Centro-Oeste,Termelétrica,441.69,17498.53,Normal
2025-02-28 20:23:43.422100,Sudeste,Eólica,,16269.32,Normal
2025-07-03 20:23:43.422100,Sudeste,Eólica,405.99,7534.38,Normal
2024-11-03 20:23:43.422100,Sudeste,Hidrelétrica,573.99,12884.16,Normal
2021-12-04 20:23:43.422100,Norte,Termelétrica,407.32,10265.62,Normal
2024-10-28 20:23:43.422100,Nordeste,Hidrelétrica,656.04,5812.08,Normal
2025-04-06 20:23:43.422100,Sul,Hidrelétrica,562.96,13816.28,Normal
2025-03-29 20:23:43.422100,Centro-Oeste,Solar,399.8,14062.57,Normal
2024-12-25 20:23:43.422100,Sul,Eólica,856.87,13745.84,Normal
2023-02-20 20:23:43.422100,Nordeste,Hidrelétrica,252.98,17490.95,Normal
2023-02-15 20:23:43.422100,Sul,Termelétrica,446.43,15779.38,Normal
2024-01-26 20:23:43.422100,Sudeste,Hidrelétrica,644.44,16654.86,Falha
2026-04-01 20:23:43.422100,Sudeste,Hidrelétrica,393.0,9611.97,Normal
2024-12-01 20:23:43.422100,Centro-Oeste,Hidrelétrica,268.96,9379.16,Normal
2025-03-11 20:23:43.422100,Sul,Eólica,310.22,12682.05,Normal
2023-05-08 20:23:43.422100,Sudeste,Nuclear,591.2,6155.64,Normal
2025-06-16 20:23:43.422100,Sudeste,Termelétrica,543.84,11980.87,Normal
2025-05-02 20:23:43.422100,Norte,Eólica,533.77,14506.3,Normal
2023-03-08 20:23:43.422100,Sudeste,Solar,532.45,20489.76,Normal
2022-04-11 20:23:43.422100,Sul,Solar,614.84,13625.33,Normal
2026-01-23 20:23:43.422100,Nordeste,Eólica,232.36,7964.72,Normal
2024-10-28 20:23:43.422100,Sudeste,Termelétrica,805.86,12358.98,Normal
2024-11-06 20:23:43.422100,Norte,Hidrelétrica,328.76,18173.44,Normal
2023-04-12 20:23:43.422100,Sul,Hidrelétrica,449.2,4936.73,Normal
2023-03-23 20:23:43.422100,Sul,Hidrelétrica,633.09,14678.37,Normal
2025-03-26 20:23:43.422100,Centro-Oeste,Hidrelétrica,447.77,11824.65,Normal
2026-01-18 20:23:43.422100,Nordeste,Nuclear,495.05,21374.09,Normal
2025-11-15 20:23:43.422100,Sudeste,Solar,267.88,16451.46,Normal
2025-07-02 20:23:43.422100,Norte,Hidrelétrica,305.11,9104.06,Normal
2024-11-05 20:23:43.422100,Centro-Oeste,Hidrelétrica,252.57,22597.76,Normal
2026-02-07 20:23:43.422100,Nordeste,Nuclear,522.94,16905.36,Normal
2024-07-08 20:23:43.422100,Centro-Oeste,Solar,543.33,6980.17,Normal
2025-07-27 20:23:43.422100,Norte,Hidrelétrica,535.9,14246.76,Normal
2022-08-13 20:23:43.422100,Norte,Hidrelétrica,503.7,19278.01,Normal
2022-12-13 20:23:43.422100,Norte,Hidrelétrica,590.14,12883.12,Normal
2024-12-10 20:23:43.422100,Sudeste,Eólica,706.35,18167.96,Manutenção
2025-08-09 20:23:43.422100,Sudeste,Solar,74.88,8432.42,Normal
2025-04-07 20:23:43.422100,Nordeste,Hidrelétrica,721.6,4282.31,Normal
2025-04-08 20:23:43.422100,Sudeste,Hidrelétrica,491.46,21654.23,Normal
2024-07-08 20:23:43.422100,Sul,Hidrelétrica,674.39,16844.16,Normal
2025-11-20 20:23:43.422100,Nordeste,Eólica,275.47,14350.08,Normal
2025-12-02 20:23:43.422100,Sudeste,Termelétrica,446.48,18694.06,Normal
2024-01-05 20:23:43.422100,Sudeste,Termelétrica,457.02,10258.72,Normal
2024-06-06 20:23:43.422100,Norte,Eólica,512.6,14392.92,Normal
2023-04-27 20:23:43.422100,Centro-Oeste,Termelétrica,525.98,11717.49,Normal
2021-09-18 20:23:43.422100,Sudeste,Hidrelétrica,249.56,23356.58,Normal
2021-05-30 20:23:43.422100,Sudeste,Hidrelétrica,521.54,20405.23,Normal
2023-03-01 20:23:43.422100,Nordeste,Hidrelétrica,206.44,23280.15,Manutenção
2022-01-03 20:23:43.422100,Sul,Hidrelétrica,582.4,14658.01,Normal
2025-10-04 20:23:43.422100,Sudeste,Nuclear,439.52,15374.36,Normal
2023-09-30 20:23:43.422100,Centro-Oeste,Termelétrica,463.27,4146.22,Manutenção
2026-03-23 20:23:43.422100,Norte,Hidrelétrica,448.95,13182.59,Normal
2024-10-28 20:23:43.422100,Nordeste,Hidrelétrica,141.53,5804.42,Normal
2022-06-17 20:23:43.422100,Centro-Oeste,Hidrelétrica,284.39,17801.91,Normal
2025-04-24 20:23:43.422100,Centro-Oeste,Eólica,681.86,8978.31,Manutenção
2025-12-15 20:23:43.422100,Sudeste,Hidrelétrica,651.0,13468.75,Normal
2024-07-25 20:23:43.422100,Sudeste,Hidrelétrica,685.41,20534.02,Manutenção
2024-05-09 20:23:43.422100,Nordeste,Termelétrica,710.28,14957.03,Normal
2026-01-30 20:23:43.422100,Sudeste,Termelétrica,197.83,13455.33,Normal
2023-05-28 20:23:43.422100,Norte,Hidrelétrica,215.11,13307.02,Normal
2026-01-18 20:23:43.422100,Centro-Oeste,Hidrelétrica,610.69,10820.7,Normal
2026-02-25 20:23:43.422100,Sudeste,Hidrelétrica,515.64,14167.62,Manutenção
2025-05-07 20:23:43.422100,Centro-Oeste,Solar,682.22,12152.31,Normal
2022-01-30 20:23:43.422100,Sudeste,Hidrelétrica,429.19,18822.14,Normal
2023-09-11 20:23:43.422100,Sul,Hidrelétrica,251.35,7634.05,Normal
2025-05-30 20:23:43.422100,Sudeste,Termelétrica,780.48,13099.1,Normal
2021-12-17 20:23:43.422100,Nordeste,Hidrelétrica,,202501.5,Normal
2024-09-17 20:23:43.422100,Centro-Oeste,Hidrelétrica,449.34,14125.5,Normal
2021-09-28 20:23:43.422100,Norte,Termelétrica,598.42,11785.76,Normal
2022-07-03 20:23:43.422100,Sudeste,Solar,453.03,12403.02,Normal
2023-07-04 20:23:43.422100,Sudeste,Eólica,581.3,19370.12,Normal
2022-03-18 20:23:43.422100,Sudeste,Hidrelétrica,409.72,14228.61,Normal
2022-03-04 20:23:43.422100,Sudeste,Termelétrica,595.55,9027.73,Normal
2023-10-29 20:23:43.422100,Sudeste,Hidrelétrica,420.56,6874.28,Normal
2025-11-17 20:23:43.422100,Sul,Hidrelétrica,768.24,14421.66,Normal
2021-12-12 20:23:43.422100,Nordeste,Hidrelétrica,669.82,19921.39,Falha
2024-02-04 20:23:43.422100,Sul,Termelétrica,583.13,8069.51,Normal
2025-08-10 20:23:43.422100,Sudeste,Nuclear,601.15,18237.8,Normal
2023-06-19 20:23:43.422100,Nordeste,Eólica,634.5,26497.34,Normal
2021-10-19 20:23:43.422100,Sul,Nuclear,403.4,14877.55,Normal
2023-01-27 20:23:43.422100,Sul,Hidrelétrica,406.93,19326.43,Normal
2024-10-04 20:23:43.422100,Sudeste,Hidrelétrica,395.61,13980.58,Normal
2024-07-19 20:23:43.422100,Sudeste,Hidrelétrica,356.36,19046.73,Normal
2021-12-01 20:23:43.422100,Nordeste,Hidrelétrica,567.47,16056.94,Normal
2025-02-06 20:23:43.422100,Centro-Oeste,Solar,402.09,17499.2,Normal
2022-09-04 20:23:43.422100,Nordeste,Hidrelétrica,821.72,13809.67,Normal
2025-03-01 20:23:43.422100,Sudeste,Hidrelétrica,435.82,16887.68,Normal
2026-04-27 20:23:43.422100,Centro-Oeste,Eólica,599.99,21128.4,Normal
2023-03-19 20:23:43.422100,Nordeste,Hidrelétrica,505.08,18381.9,Manutenção
2023-07-01 20:23:43.422100,Sudeste,Hidrelétrica,544.76,16311.97,Normal
2024-01-08 20:23:43.422100,Nordeste,Hidrelétrica,513.49,17127.28,Normal
2022-07-05 20:23:43.422100,Norte,Eólica,541.98,17421.26,Manutenção
2025-02-26 20:23:43.422100,Centro-Oeste,Termelétrica,382.3,15155.5,Manutenção
2025-08-10 20:23:43.422100,Centro-Oeste,Termelétrica,345.67,12304.07,Normal
2021-10-22 20:23:43.422100,Nordeste,Hidrelétrica,462.33,16729.16,Normal
2024-08-12 20:23:43.422100,Nordeste,Eólica,324.4,14868.91,Normal
2023-10-09 20:23:43.422100,Nordeste,Hidrelétrica,324.66,8608.15,Normal
2026-02-26 20:23:43.422100,Nordeste,Hidrelétrica,379.88,15017.26,Normal
2022-09-29 20:23:43.422100,Centro-Oeste,Eólica,572.55,13456.01,Normal
2023-12-13 20:23:43.422100,Sul,Eólica,435.4,20080.68,Normal
2025-12-17 20:23:43.422100,Nordeste,Hidrelétrica,522.8,19312.16,Normal
2022-11-30 20:23:43.422100,Sudeste,Hidrelétrica,683.72,15650.1,Falha
2022-05-01 20:23:43.422100,Nordeste,Hidrelétrica,292.69,9079.86,Normal
2023-10-17 20:23:43.422100,Centro-Oeste,Hidrelétrica,775.84,16002.98,Normal
2023-02-28 20:23:43.422100,Nordeste,Hidrelétrica,687.29,16535.8,Normal
2026-05-05 20:23:43.422100,Sul,Termelétrica,582.04,13956.95,Normal
2022-09-13 20:23:43.422100,Centro-Oeste,Hidrelétrica,720.2,11113.34,Manutenção
2021-10-26 20:23:43.422100,Sudeste,Hidrelétrica,492.33,16883.69,Normal
2025-05-06 20:23:43.422100,Sudeste,Hidrelétrica,261.13,7868.84,Manutenção
2025-01-09 20:23:43.422100,Nordeste,Solar,685.28,14599.68,Normal
2025-11-18 20:23:43.422100,Sul,Eólica,357.26,16264.24,Normal
2022-02-15 20:23:43.422100,Nordeste,Hidrelétrica,595.03,11475.81,Normal
